Avaliacao: 32% , Penalizacao de grupos: 85%
|   ID | Age |      Profession | Group|                                            Hobbies |
|    1 |  62 |            Moda |    1 | Xadrez,Damas,|
|    2 |  60 |     Informitico |    1 | Damas,|
|    3 |  91 |      Fotografia |    2 | Futebol,|
|    4 |  82 |      Jornalismo |    2 | Damas,Tenis,|
|    5 |  67 |   Nutricionista |    2 | Xadrez,|
|    6 |   5 |     Aeronautica |    3 | Tenis,|
|    7 |  25 |            Moda |    3 | |
|    8 |  58 |        LocRadio |    3 | Tenis,Futebol,|
|    9 |   6 |     Publicidade |    4 | |
|   10 |  82 |         Quimico |    4 | Xadrez,Damas,Tenis,|
|   11 |  82 |        Geografo |    4 | Tenis,Futebol,|
|   12 |  26 |          Fisico |    4 | Damas,|
|   13 |  10 |      Jornalismo |    4 | |
|   14 |  89 |      Jornalismo | null | Futebol,|
|   15 |  79 |       Enfermeio |    5 | |
|   16 |  65 |         Quimico |    5 | Futebol,|
|   17 |  19 |      Industrial |    5 | Xadrez,Futebol,|
|   18 |  78 |      Industrial |    6 | Tenis,|
|   19 |  18 |  Fisioterapeuta |    6 | Xadrez,Damas,|
|   20 |  92 |      Pedagogico | null | Damas,|
|   21 |  88 |     RelPublicas |    7 | Damas,|
|   22 |  29 |       Bartender |    7 | |
|   23 |  92 |          Musica |    7 | Damas,Futebol,|
|   24 |  24 |   Recepcionista | null | Xadrez,Damas,Tenis,|
|   25 |  20 |        LocRadio |    8 | Damas,|
|   26 |  97 |      Fotografia |    8 | Tenis,Futebol,|
|   27 |  95 |   Recepcionista |    8 | Tenis,Futebol,|
|   28 |  57 |    Farmaceutico |    9 | Tenis,Futebol,|
|   29 |  63 |        Geografo |    9 | Damas,Tenis,Futebol,|
|   30 |  77 |        LocRadio |   10 | Futebol,|
|   31 |  28 |          Fisico |   10 | Xadrez,Futebol,|
|   32 |  80 |     Publicidade | null | Xadrez,|
|   33 |  82 |         Quimico |   11 | Futebol,|
|   34 |  96 |          Medico |   11 | Damas,|
|   35 |  97 |          Teatro |   11 | Xadrez,Damas,Futebol,|
|   36 |  92 |         Biologo | null | Damas,Tenis,Futebol,|
|   37 |  78 |          Fisico |   12 | Damas,|
