Avaliacao: 126% , Penalizacao de grupos: 30%
|   ID | Age |      Profession | Group|                                            Hobbies |
|    1 |  53 |        Geografo |    1 | |
|    2 |  63 |   Nutricionista |    1 | |
|    3 |  98 |     Informitico |    1 | Damas,Tenis,Futebol,|
|    4 |  37 |        LocRadio |    1 | Tenis,Futebol,|
|    5 |  54 |          Teatro |    2 | Tenis,|
|    6 |  61 |           Civil |    2 | Xadrez,Damas,|
|    7 |  53 |   Recepcionista |    3 | |
|    8 |  43 |   Recepcionista |    3 | Xadrez,Tenis,|
|    9 |  59 |          Cinema |    3 | |
|   10 | 100 |            Guia |    3 | Xadrez,|
|   11 |  25 |      Industrial |    4 | Xadrez,Damas,Tenis,|
|   12 |  73 |          Cinema |    4 | Tenis,|
|   13 |  63 |   Recepcionista |    5 | Damas,|
|   14 |  72 |       Bartender |    5 | Futebol,|
|   15 |  19 |   Recepcionista |    5 | |
|   16 |  38 |          Musica |    5 | Xadrez,Damas,Tenis,|
|   17 |   5 |         Biologo |    5 | |
|   18 |  79 |     Aeronautica |    6 | Damas,|
|   19 |  71 |         Quimico |    6 | |
|   20 |  78 |      Industrial |    6 | Xadrez,Damas,|
|   21 |  75 |          Teatro |    7 | Xadrez,Damas,|
|   22 |  98 |      Jornalismo |    7 | Xadrez,Damas,|
|   23 |   3 |      Jornalismo |    7 | Futebol,|
|   24 |  54 |       Bartender |    7 | |
|   25 |  35 |         Quimico |    8 | Damas,Tenis,|
|   26 |  37 |   Nutricionista |    8 | Xadrez,Damas,|
|   27 |  39 |     RelPublicas |    8 | Tenis,|
|   28 |  98 |     Publicidade |    8 | |
|   29 |  76 |           Civil |    9 | Damas,Tenis,Futebol,|
|   30 |  53 |         Quimico |    9 | |
|   31 |  14 |     Aeronautica |    9 | Damas,Futebol,|
|   32 |  63 |           Danca |   10 | Damas,Tenis,|
|   33 |  81 |     Publicidade |   10 | Tenis,Futebol,|
|   34 |  62 |          Medico |   10 | Damas,|
|   35 |  95 |        LocRadio |   10 | Xadrez,Damas,|
|   36 |  14 |           Civil |   10 | Xadrez,|
|   37 |  82 |   Nutricionista |   11 | Xadrez,Damas,Tenis,|
|   38 |  81 |          Fisico |   11 | |
|   39 |  95 |         Quimico | null | Tenis,|
|   40 |   5 |     Publicidade |   12 | Xadrez,|
|   41 |  94 |    Farmaceutico |   12 | Xadrez,|
|   42 |  65 |     RelPublicas |   13 | Xadrez,Tenis,Futebol,|
|   43 |  29 |     Aeronautica |   13 | Xadrez,Damas,|
|   44 |   3 |            Moda |   13 | Xadrez,Damas,|
|   45 |  96 |         Quimico |   14 | Tenis,|
|   46 |   4 |      Pedagogico |   14 | |
|   47 |  67 |      Pedagogico |   15 | |
|   48 |   6 |     Publicidade |   15 | |
|   49 |   5 |          Cinema |   15 | Xadrez,Damas,|
|   50 |  79 |         Biologo |   15 | Xadrez,Futebol,|
|   51 |  24 |   Nutricionista |   15 | Xadrez,|
|   52 |  14 |      Industrial |   16 | Xadrez,Damas,Futebol,|
|   53 |  96 |      Pedagogico |   16 | |
|   54 |  18 |           Civil |   17 | Damas,Tenis,|
|   55 |   8 |         Biologo |   17 | |
|   56 |  67 |          Cinema |   18 | Damas,Futebol,|
|   57 |  20 |          Fisico |   18 | Tenis,Futebol,|
|   58 |  65 |     Publicidade |   18 | |
|   59 |  45 |     RelPublicas |   19 | Xadrez,Damas,Tenis,|
|   60 |  47 |  Fisioterapeuta |   19 | |
|   61 |  78 |            Moda |   20 | Damas,|
|   62 |  99 |     Publicidade |   20 | |
|   63 |  25 |           Civil |   21 | |
|   64 |  58 |   Recepcionista |   21 | Damas,Futebol,|
|   65 |   7 |          Musica |   22 | Futebol,|
|   66 |  22 |     Publicidade |   22 | |
|   67 |  51 |          Cinema |   22 | Futebol,|
|   68 |  53 |     Aeronautica |   23 | Xadrez,Tenis,|
|   69 |  82 |        Geografo |   23 | |
|   70 |   7 |      Jornalismo |   23 | |
|   71 |  13 |         Quimico |   23 | |
