Avaliacao: 54% , Penalizacao de grupos: 2%
|   ID | Age |      Profession | Group|                                            Hobbies |
|    1 |  42 |  Fisioterapeuta |    1 | Futebol,|
|    2 |  49 |       Bartender |    1 | |
|    3 |  15 |          Teatro |    1 | Xadrez,Tenis,|
|    4 |  34 |  Fisioterapeuta |    1 | Xadrez,Tenis,|
|    5 |  96 |           Danca |    2 | Futebol,|
|    6 |   8 |            Moda |    2 | Damas,Futebol,|
|    7 |  65 |          Fisico |    3 | |
|    8 |  47 |   Recepcionista |    3 | Tenis,Futebol,|
|    9 |  88 |  Fisioterapeuta |    4 | Damas,Futebol,|
|   10 |  62 |           Civil |    4 | Xadrez,Tenis,Futebol,|
|   11 |   6 |          Fisico |    5 | Xadrez,Tenis,|
|   12 |  59 |       Enfermeio |    5 | Xadrez,Damas,|
|   13 |  23 |            Guia |    5 | |
|   14 |  68 |   Nutricionista |    5 | Damas,Futebol,|
|   15 |  66 |            Moda |    5 | Xadrez,Futebol,|
|   16 |  24 |          Agente | null | Xadrez,Tenis,Futebol,|
|   17 |  33 |          Teatro |    6 | Tenis,|
|   18 |  46 |       Enfermeio |    6 | Xadrez,Damas,|
|   19 |  62 |   Nutricionista |    6 | Xadrez,|
|   20 |  32 |           Civil |    6 | Xadrez,Damas,|
|   21 |   8 |          Teatro |    6 | Xadrez,Damas,Futebol,|
|   22 |  14 |        Geografo |    7 | Xadrez,Tenis,|
|   23 |   6 |          Medico |    7 | Futebol,|
|   24 |  25 |         Biologo |    7 | Futebol,|
|   25 |  39 |          Cinema |    7 | Tenis,Futebol,|
|   26 |  70 |           Danca |    7 | Damas,|
|   27 |  20 |            Moda |    8 | Xadrez,Damas,|
|   28 |  54 |     RelPublicas |    8 | Tenis,|
|   29 |   5 |        Geografo |    9 | Futebol,|
|   30 |  56 |     RelPublicas |    9 | Tenis,|
|   31 |  11 |     RelPublicas |    9 | |
|   32 |  66 |        LocRadio |    9 | Futebol,|
